"g171school","g171province","g171sex","g171age","g171f010","g171f074","g171f076","g171f086","g171f101","g171f124","g171g002","eventtime","status","blank_month","X5","X10","X11","X12","X16","X35"
"1","3","2",22.91666667,"1",4,8,2,"1","2","0",17,1,2,"2",5,40,0,250,"1"
"1","4","2",25.16666667,"1",3.8,8,2,"1","2","0",14,1,1,"1",5,40,10,280,"2"
"1","4","1",28.16666667,"1",3.9,8,2,"1","2","0",9,1,2,"1",5,40,0,283,"2"
"1","5","2",23.75,"1",3.8,8,2,"2","2","0",6,1,1,"1",5,40,0,180,"1"
"1","2","2",23.33333333,"1",4,6,2,"2","2","0",8,1,2,"2",5,40,2,165,"1"
"1","4","2",22.75,"1",3,6,2,"2","2","0",10,1,1,"2",5.5,40,8,160,"1"
"1","5","2",22.91666667,"1",3.8,6,2,"2","2","0",9,1,2,"2",6,45,0,160,"2"
"1","5","2",23.08333333,"1",3.5,6,2,"2","2","0",16,1,0,"2",5,40,0,170,"2"
"1","5","2",22.91666667,"1",3.8,6,1,"2","2","0",12,1,2,"2",6,50,0,200,"2"
"1","4","1",25.16666667,"1",3.3,6,1,"1","2","1",5,1,1,"2",5,40,8,156,"1"
"1","4","2",24,"1",3.5,2,2,"2","2","1",14,1,-11,"2",6,44,0,150,"2"
"1","4","1",27,"2",4.3,2,1,"2","2","1",8,1,3,"2",6,44,4,220,"1"
"1","4","1",26.58333333,"1",3.8,8,2,"1","2","0",14,1,5,"2",5,40,6,200,"2"
"1","2","2",24,"1",3.1,6,2,"1","2","0",8,1,5,"2",5,40,0,150,"2"
"1","4","1",24.83333333,"1",3.3,6,1,"1","2","0",12,1,0,"2",6,40,20,180,"2"
"1","4","2",24.25,"2",4.1,2,2,"2","2","0",5,1,0,"2",6,48,0,120,"2"
"1","4","1",25.08333333,"1",3.6,6,1,"1","2","0",7,1,3,"2",6,48,1,200,"2"
"1","1","1",22.33333333,"1",3.1,4,2,"2","2","0",19,1,-3,"2",5,40,12,140,"2"
"1","2","2",27.91666667,"1",3.7,4,1,"2","2","0",9,1,5,"2",5,40,0,180,"2"
"1","2","1",23.91666667,"1",3.9,4,2,"1","2","0",7,1,2,"2",6,54,18,130,"1"
"1","1","2",21.66666667,"1",3.8,4,2,"2","2","0",5,1,7,"2",5,40,15,160,"2"
"1","4","2",21.66666667,"1",3.2,4,2,"2","2","0",8,1,-4,"2",6,52,0,185,"2"
"1","4","2",22.25,"1",3.8,4,2,"2","2","0",15,1,0,"2",6,44,0,173,"1"
"3","4","2",25.5,"1",2.8,8,2,"2","2","0",3,1,2,"2",5,60,0,150,"2"
"2","1","1",29.41666667,"1",3.3,10,2,"1","1","0",25,1,-6,"2",5,40,8,433,"1"
"2","3","2",27.91666667,"1",3.4,8,1,"1","1","0",9,1,6,"2",5,40,0,233,"1"
"2","4","2",28.58333333,"2",4.4,5,2,"2","1","0",23,1,-8,"1",5,40,0,240,"2"
"2","1","2",26.08333333,"1",3.8,9,2,"1","2","0",24,1,-6,"2",5,45,1,230,"1"
"2","1","1",27.83333333,"1",3.5,8,2,"1","2","0",17,1,-1,"2",5,40,10,280,"2"
"2","4","1",27.5,"1",3.7,8,2,"1","2","0",6,1,6,"1",5,40,10,190,"2"
"2","4","1",28.75,"1",3.6,8,2,"1","2","0",14,1,8,"1",5,40,1,179,"2"
"2","1","2",25.75,"1",3.2,9,2,"1","1","0",14,1,2,"2",5,40,3,200,"2"
"2","4","2",24.75,"1",3.8,8,2,"1","2","0",8,1,1,"2",5,40,0,200,"2"
"2","3","1",26.91666667,"1",4.1,8,2,"1","2","0",7,1,2,"2",5,40,0,330,"2"
"2","1","2",28.33333333,"1",3.9,9,2,"2","1","0",8,1,1,"2",5,40,0,180,"2"
"2","1","1",27.58333333,"1",4.1,8,2,"1","2","0",6,1,11,"2",5,40,0,200,"2"
"2","1","1",27.58333333,"1",3.6,9,2,"1","1","0",12,1,0,"2",5,40,0,290,"2"
"2","1","2",26.83333333,"2",3.7,5,2,"1","1","0",22,1,-6,"2",5,40,0,216,"1"
"2","2","1",29.66666667,"1",3,8,1,"2","1","0",3,1,0,"2",5.5,40,40,140,"2"
"2","1","1",28.75,"1",3.6,8,2,"1","2","0",5,1,0,"2",5,40,10,300,"2"
"2","1","2",25.58333333,"1",3.9,8,2,"1","2","0",7,1,-1,"2",5,40,15,375,"2"
"2","2","2",26.83333333,"1",3.5,8,2,"1","1","0",10,1,2,"2",5,40,5,200,"1"
"2","4","1",27.83333333,"1",3.8,8,2,"1","2","0",14,1,-8,"2",5,40,0,140,"2"
"2","4","2",24,"1",4.1,8,2,"2","2","0",8,1,-1,"2",5,40,0,250,"2"
"2","4","2",26.5,"1",4.1,8,2,"1","1","0",8,1,-6,"2",5,40,0,200,"2"
"2","4","2",27.41666667,"1",3.7,8,2,"1","1","0",4,1,1,"2",6,72,0,200,"2"
"2","1","1",29.66666667,"1",4.2,6,2,"1","2","0",8,1,0,"2",5,40,3,366,"2"
"2","1","2",27.41666667,"1",3.7,8,2,"1","2","0",10,1,8,"2",5,40,0,200,"2"
